2024-06-18 16:40:40 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4947313c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6bb7e015, org.springframework.security.web.context.SecurityContextHolderFilter@5d2e519d, org.springframework.security.web.header.HeaderWriterFilter@403b2bc5, org.springframework.web.filter.CorsFilter@1d9ca57e, org.springframework.security.web.authentication.logout.LogoutFilter@3e1afe63, com.event.booking.config.JwtAuthenticationFilter@320e9bd8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f04872b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e80862, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6755cfea, org.springframework.security.web.session.SessionManagementFilter@1356c64, org.springframework.security.web.access.ExceptionTranslationFilter@1e6c77f, org.springframework.security.web.access.intercept.AuthorizationFilter@3042520b]
2024-06-18 16:40:41 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-18 16:40:41 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-06-18 16:40:41 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2024-06-18 16:40:52 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-18 16:40:52 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-18 16:40:52 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2024-06-18 16:41:06 [http-nio-8088-exec-4] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 864 ms
2024-06-18 16:42:34 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-18 16:42:34 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-06-18 16:42:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
